objectid,display_template,parentid,object_location,image_small,image_thumb,title,date,description,ark,source
historicalmaps46,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i007.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i007_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i007_th.jpg,Map of farm and grounds at Iowa State College,1913,Map from 1913 of the campus and farm of Iowa State College. Created by the Iowa State College Department of Agricultural Engineering. ,https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps23.html,Iowa State University. Facilities Planning and Management records
historicalmaps47,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i008.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i008_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i008_th.jpg,Map of college grounds exclusive of farm,1891,Map from 1891 of the college grounds of Iowa State College.,https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps19.html,Iowa State University. Facilities Planning and Management records
historicalmaps48,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i010.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i010_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i010_th.jpg,Map of the college domain,1883,"Map from 1883 of Iowa State College campus, including a building legend.",https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps25.html,Iowa State University. Facilities Planning and Management records
historicalmaps49,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i004_th.jpg,"Key to map of college, 1904",1904,Map of Iowa Agricultural College with a key listing where specific professors and halls reside from 1904. ,https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps6.html,Iowa State University. Facilities Planning and Management records
historicalmaps50,image,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i001_th.jpg,"Map of agricultural college farm, 1868",1868,"Map of Agricultural College Farm including the barn, house, college, and surrounding landscape in 1868.",https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps7.html,Iowa State University. Facilities Planning and Management records
historicalmaps51,compound_object,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i005_th.jpg,"Proposed plan for Iowa State College campus, 1913",1913,"Blueprint map showing proposed plan for Iowa State College campus in Ames, Iowa. Drawn by R.S. Johnson in 1913, includes key of buildings on campus.",https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps5.html,Iowa State University. Facilities Planning and Management records
historicalmaps52,image,historicalmaps51,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i005.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i005_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i005_th.jpg,Page 1,,,,
historicalmaps53,image,historicalmaps51,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i006.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i006_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i006_th.jpg,Page 2,,,,
historicalmaps54,compound_object,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,"Iowa Agricultural College campus and buildings map, 1896",1896,"Map of the Iowa Agricultural College campus and buildings from 1896, including a reference key.",https://digitalcollections.lib.iastate.edu/historicalmaps/items/historicalmaps2.html,Iowa State University. Facilities Planning and Management records
historicalmaps55,image,historicalmaps54,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i002.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i002_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i002_th.jpg,Front,,,,
historicalmaps56,image,historicalmaps54,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/rs4-8-0-7b001f001i003.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/small/rs4-8-0-7b001f001i003_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/historicalmaps/thumbs/rs4-8-0-7b001f001i003_th.jpg,Back,,,,
