objectid,parentid,title,creator,date,year_started,year_gone,valuation,architect,contractor,alternate_names,description,buildings_present,day_book_excerpt,subject,location,latitude,longitude,filename,original_filename,source,identifier,format,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
cornerstones0048,,Photograph of women outside Sloss House,"Barry, John W. (John Wolfe), 1905-1988",1943-10,,,,,,,"Photograph of women outside Sloss House while it was being used as a home management house. One woman leans over a baby carriage, while others stand on the steps and sidewalk. ",Sloss House,,,Sloss House; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones053_001.jpg, cornerstones053_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2486,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones053_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones053_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones053_001_th.jpg,
cornerstones0049,,Photograph of Sloss House,,,,,,,,,Aerial photograph of Sloss House taken from the Iowa State Campanile.,Sloss House,,,Sloss House; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones054_001.jpg,cornerstones054_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2489,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones054_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones054_001_sm.jpg ,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones054_001_th.jpg,
cornerstones0050,,Photograph of Shattuck Theatre looking north,,,,,,,,,"Photograph of the Shattuck Theatre showing the exterior south doors and a signboard containing a poster for ""Fiddler on the Roof.""",Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones055_001.jpg,cornerstones055_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2492,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones055_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones055_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones055_001_th.jpg,
cornerstones0051,,Photograph of people and sheep outside Shattuck Theatre,,,,,,,,,Photograph of men and women showing four sheep outside the Shattuck Theatre.,Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones056_001.jpg,cornerstones056_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2495,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones056_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones056_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones056_001_th.jpg,
cornerstones0052,,Photograph of Shattuck Theatre looking northeast,,,,,,,,,Photograph of the south doors of the Shattuck Theatre. There are trees and bushes without leaves in the foreground. ,Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones057_001.jpg,cornerstones057_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2498,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones057_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones057_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones057_001_th.jpg,
cornerstones0053,,Photograph of Shattuck Theatre looking north-northwest,,,,,,,,,"Photograph of the south door of Shattuck Theatre, facing north-northwest. There are bushes to the right of the door and a sign to the left.  ",Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones058_001.jpg,cornerstones058_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2501,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones058_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones058_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones058_001_th.jpg,
cornerstones0054,,"Photograph of Shattuck Theatre, 1915",,1915,,,,,,,"Annotation: ""Judging beef cattle. Remodelled for theatre workshop.""",Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones059_001.jpg,cornerstones059_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2504,image/jpeg,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones059_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones059_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones059_001_th.jpg,
cornerstones0055,,"Photograph of Shattuck Theatre south doors, 1954",,1954,,,,,,,"Photograph of the south doors of Shattuck Theatre. The doors are closed, and the sign above the door says ""Jane Eyre.""",Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones060_001.jpg,cornerstones060_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2507,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones060_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones060_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones060_001_th.jpg,
cornerstones0056,,"Photograph of Shattuck Theatre south doors, 1954",,1954,,,,,,,"Photograph of the south doors of Shattuck Theatre. The doors are closed, and the sign above the door says ""Jane Eyre.""",Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones061_001.jpg,cornerstones061_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2508,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones061_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones061_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones061_001_th.jpg,
cornerstones0057,,Photograph of Shattuck Theatre,,1962,,,,,,,"Eight photographs of Shattuck Theatree in the fall, taken from different angles.",Theater-Workshop,,,Theater-Workshop; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones062_001.jpg,cornerstones062_001.jpg,Iowa State University. Facilities Planning and Management records,universityphotographs2509,image/jpeg,"This item is protected by U.S. copyright and related rights. It is being made available by Iowa State University as its rights-holder for noncommercial use, including sharing and adapting the work. No permission is required for noncommercial use so long as attribution is provided. All other uses require permission from Special Collections and University Archives.",https://creativecommons.org/licenses/by-nc/4.0/,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/cornerstones062_001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/cornerstones062_001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/cornerstones062_001_th.jpg,
cornerstones0059,,Aerial view of group of buildings,,,,,,,,,"View southwest from Main Building. The sidewalk leads to Chemical and Physical Laboratory, built in 1870 & 75, it burned in 1913. East and West Cottages, men's dormitories, are to the left of it. East Cottage, built in 1882, was later used as Training Quarters for athletes. It was torn down in 1907. West Cottage, built in 1880, was later used by the College hospital. It was torn down in 1934. In back of Chemical Hall is the Engineering Building, built 1883 & 1884. Later it was known as the Theoretical and Applied Mechanics Laboratory and now known as Mechanics Laboratory. To the right of Engineering Hall is the frame workshop, built in 1870. It was torn down in 1897. The house in the trees is the Marston Cottage which was torn down after Mrs. Marston's death in 1958 when it was almost surrounded by Friley Hall. Tennis courts and the football field supplanted the orchards.
","Left to Right: Main Building (south wing), Boarding Cottage East, Marston Cottage, Boarding Cottage West, Chemical and Physical Laboratory, Laboratory of Mechanics, Victory Bell (low in frame), Workshop, and Main Building (north wing). Looking southwest.",,,Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/04-08-j_campusscenes_0332-02-001.jpg,,"Iowa State University. Facilities Planning and Management records, 1859 - 2015",universityphotographs2239,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/ ,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/04-08-j_campusscenes_0332-02-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/04-08-j_campusscenes_0332-02-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/04-08-j_campusscenes_0332-02-001_th.jpg,
cornerstones0060,,Construction of the west wing of State Gymnasium viewed from the northwest,Iowa State University,1912,,,,,,,A dirt road runs along the front (north) of State Gymnasium. Work is continuing on the doors and windows on the west wing of the building. Chemical and Physical Hall is on the far left before it burnt down in 1913 and Grounds Cottage is on the right. Grounds Cottage was moved across from the Heating Plant in 1924.,Left to Right: State Gymnasium (under construction) and Grounds Cottage. Looking southeast.,,,State Gymnasium; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/04-08-i-stategym-213-08-004.jpg,,"Iowa State University. Facilities Planning and Management records, 1859 - 2015",universityphotographs1840,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/ ,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/04-08-i-stategym-213-08-004.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/04-08-i-stategym-213-08-004_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/04-08-i-stategym-213-08-004_th.jpg,
cornerstones0061,,"Margaret Hall, circa 1900",,1900,,,,,,,"Two horse-drawn carriagesare passing in front of Ladies Hall (later known as Margaret Hall). Botany Hall (later known as Carrie Chapman Catt Hall) is on the far right. The Quadrangle is behind Botany Hall, 1900.","Left to Right: Margaret Hall, Botany Hall Addition (Farm Mechanics Building), and Botany Hall. Looking northeast.",,,Margaret Hall; Ames; Iowa,,,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/04-08-j_campusscenes_0336-02-001.jpg,,"Iowa State University. Facilities Planning and Management records, 1859 - 2015",universityphotographs2284,image/jpeg,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC/1.0/ ,image,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/04-08-j_campusscenes_0336-02-001.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/small/04-08-j_campusscenes_0336-02-001_sm.jpg,https://isuu00001library102stg.blob.core.windows.net/digital-objects/universityphotographs/thumbs/04-08-j_campusscenes_0336-02-001_th.jpg,
